rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_ref,secs,nsecs,source
1536033094481014718,,0,,1536033094,480698058,'',,1536094150,493589000,fcu
1536033095477441746,,1,,1536033095,477139424,'',,1536094151,492590000,fcu
1536033096492599508,,2,,1536033096,491796332,'',,1536094152,490591000,fcu
1536033097482809809,,3,,1536033097,482277804,'',,1536094153,492592000,fcu
1536033098491500186,,4,,1536033098,491302892,'',,1536094154,491593000,fcu
1536033099481823253,,5,,1536033099,481575070,'',,1536094155,491593000,fcu
1536033100482236811,,6,,1536033100,481821572,'',,1536094156,492594000,fcu
1536033101483871783,,7,,1536033101,483394380,'',,1536094157,495595000,fcu
1536033102483104327,,8,,1536033102,482392017,'',,1536094158,498596000,fcu
1536033103482334909,,9,,1536033103,482008461,'',,1536094159,490596000,fcu
1536033104477501371,,10,,1536033104,477255451,'',,1536094160,491597000,fcu
1536033105482002962,,11,,1536033105,481512271,'',,1536094161,498598000,fcu
1536033106482367443,,12,,1536033106,481428925,'',,1536094162,495599000,fcu
1536033107482110929,,13,,1536033107,481896809,'',,1536094163,496599000,fcu
1536033108481642820,,14,,1536033108,481197656,'',,1536094164,497600000,fcu
1536033109482654160,,15,,1536033109,482299711,'',,1536094165,497601000,fcu
1536033110492448335,,16,,1536033110,492218515,'',,1536094166,493602000,fcu
1536033111482143007,,17,,1536033111,481702217,'',,1536094167,490603000,fcu
1536033112483118633,,18,,1536033112,482941589,'',,1536094168,492603000,fcu
1536033113482172221,,19,,1536033113,481857111,'',,1536094169,498604000,fcu
1536033114478589224,,20,,1536033114,478325953,'',,1536094170,491605000,fcu
1536033115492470857,,21,,1536033115,492067019,'',,1536094171,492606000,fcu
1536033116481701514,,22,,1536033116,481494694,'',,1536094172,492606000,fcu
1536033117482136022,,23,,1536033117,481818599,'',,1536094173,493607000,fcu
1536033118481959423,,24,,1536033118,481768217,'',,1536094174,490608000,fcu
1536033119492832158,,25,,1536033119,492322842,'',,1536094175,493609000,fcu
1536033120492724874,,26,,1536033120,492475253,'',,1536094176,497609000,fcu
1536033121482985427,,27,,1536033121,482719243,'',,1536094177,491610000,fcu
1536033122493335045,,28,,1536033122,493017485,'',,1536094178,491611000,fcu
1536033123482927038,,29,,1536033123,482193614,'',,1536094179,491612000,fcu
1536033124476547862,,30,,1536033124,476300517,'',,1536094180,490613000,fcu
1536033125502307307,,31,,1536033125,502017322,'',,1536094181,490613000,fcu
1536033126482005728,,32,,1536033126,481586177,'',,1536094182,490614000,fcu
1536033127492494176,,33,,1536033127,492234105,'',,1536094183,491615000,fcu
1536033128502381167,,34,,1536033128,502014555,'',,1536094184,491616000,fcu
1536033129483137848,,35,,1536033129,482175417,'',,1536094185,490616000,fcu
1536033130481774373,,36,,1536033130,481604230,'',,1536094186,491617000,fcu
1536033131483515186,,37,,1536033131,482310772,'',,1536094187,494618000,fcu
1536033132481890265,,38,,1536033132,481477964,'',,1536094188,495619000,fcu
1536033133475260581,,39,,1536033133,474615798,'',,1536094189,490620000,fcu
1536033134477215426,,40,,1536033134,476816939,'',,1536094190,491620000,fcu
1536033135481887235,,41,,1536033135,481590150,'',,1536094191,491621000,fcu
1536033136482546951,,42,,1536033136,482269042,'',,1536094192,491622000,fcu
1536033137482579921,,43,,1536033137,482397390,'',,1536094193,489623000,fcu
1536033138481996196,,44,,1536033138,481754889,'',,1536094194,490623000,fcu
1536033139481028834,,45,,1536033139,480791514,'',,1536094195,490624000,fcu
1536033140492192979,,46,,1536033140,491869181,'',,1536094196,490625000,fcu
1536033141481535989,,47,,1536033141,481285519,'',,1536094197,490626000,fcu
1536033142482992793,,48,,1536033142,482770649,'',,1536094198,497626000,fcu
1536033143493314823,,49,,1536033143,492855696,'',,1536094199,491627000,fcu
1536033144477377274,,50,,1536033144,477005800,'',,1536094200,490628000,fcu
1536033145481911841,,51,,1536033145,481585205,'',,1536094201,493629000,fcu
1536033146504607511,,52,,1536033146,504199360,'',,1536094202,491630000,fcu
1536033147482477348,,53,,1536033147,482242603,'',,1536094203,489630000,fcu
1536033148492511006,,54,,1536033148,492114693,'',,1536094204,491631000,fcu
1536033149505101397,,55,,1536033149,504676446,'',,1536094205,495632000,fcu
1536033150482025266,,56,,1536033150,481697593,'',,1536094206,494633000,fcu
1536033151503378992,,57,,1536033151,502829224,'',,1536094207,489633000,fcu
1536033152481353032,,58,,1536033152,481095224,'',,1536094208,490634000,fcu
1536033153483241400,,59,,1536033153,482248668,'',,1536094209,493635000,fcu
1536033154477028718,,60,,1536033154,476728208,'',,1536094210,490636000,fcu
1536033155502602506,,61,,1536033155,502282433,'',,1536094211,490636000,fcu
1536033156481885827,,62,,1536033156,481443287,'',,1536094212,492637000,fcu
1536033157493301405,,63,,1536033157,492937855,'',,1536094213,491638000,fcu
1536033158481939692,,64,,1536033158,481783449,'',,1536094214,493639000,fcu
1536033159493528850,,65,,1536033159,492387476,'',,1536094215,493640000,fcu
1536033160482320468,,66,,1536033160,481936593,'',,1536094216,492640000,fcu
1536033161493108063,,67,,1536033161,492794453,'',,1536094217,492641000,fcu
1536033162491732262,,68,,1536033162,491294885,'',,1536094218,493642000,fcu
1536033163482063405,,69,,1536033163,481742132,'',,1536094219,494643000,fcu
1536033164477840849,,70,,1536033164,477659306,'',,1536094220,494643000,fcu
1536033165482260049,,71,,1536033165,481636854,'',,1536094221,494644000,fcu
1536033166482324358,,72,,1536033166,481989422,'',,1536094222,495645000,fcu
1536033167482830956,,73,,1536033167,482616412,'',,1536094223,489646000,fcu
1536033168482746498,,74,,1536033168,482578392,'',,1536094224,492647000,fcu
1536033169491914603,,75,,1536033169,491578354,'',,1536094225,494647000,fcu
1536033170492628008,,76,,1536033170,492314210,'',,1536094226,491648000,fcu
1536033171481510340,,77,,1536033171,481266207,'',,1536094227,495649000,fcu
1536033172482630421,,78,,1536033172,482198032,'',,1536094228,495650000,fcu
