rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1536033121521832290,,0,,1536033121,521180569,'',1,0,,-0.140773430467,0.140819236636,0.104241207242,,9.62614990471e-07,9.90927219391e-07,-0.699999988079,,0.0,0.0,0.0,0.217675402761,0.0
1536033121621814916,,1,,1536033121,621225297,'',1,0,,-0.140630364418,0.140693232417,0.104070201516,,5.52088010868e-07,8.06897844541e-07,-0.0397699996829,,0.0,0.0,0.0,0.217674568295,0.0
1536033121733255840,,2,,1536033121,732938530,'',1,0,,-0.140526711941,0.140522912145,0.103874452412,,1.25989311073e-06,6.79492927702e-07,-0.05272000283,,0.0,0.0,0.0,0.217655256391,0.0
1536033121822821640,,3,,1536033121,822688811,'',1,0,,-0.140457436442,0.140368118882,0.103706002235,,6.51180755544e-07,5.94556297528e-07,-0.0371199995279,,0.0,0.0,0.0,0.217806652188,0.0
1536033121922468543,,4,,1536033121,921825047,'',1,0,,-0.14045420289,0.140193834901,0.103466831148,,9.48458875888e-07,1.09001996407e-06,-0.0460000000894,,0.0,0.0,0.0,0.217754080892,0.0
1536033122023705060,,5,,1536033122,23385650,'',1,0,,-0.140453547239,0.140114679933,0.103245377541,,2.97278148769e-07,2.54809862099e-07,-0.0416200011969,,0.0,0.0,0.0,0.217724397779,0.0
1536033122132479673,,6,,1536033122,132072747,'',1,0,,-0.140522927046,0.140048399568,0.103120267391,,1.07586379273e-06,9.34302818223e-07,-0.0400599986315,,0.0,0.0,0.0,0.217732623219,0.0
1536033122223275938,,7,,1536033122,222897338,'',1,0,,-0.140603616834,0.139974027872,0.103083319962,,3.25590377774e-07,2.40653747596e-07,-0.0359000004828,,0.0,0.0,0.0,0.21771736443,0.0
1536033122324023376,,8,,1536033122,323187474,'',1,0,,-0.140749290586,0.13986736536,0.103093415499,,3.82214778943e-07,5.66244125366e-07,-0.0447099991143,,0.0,0.0,0.0,0.21757645905,0.0
1536033122432494041,,9,,1536033122,432152055,'',1,0,,-0.140845119953,0.139703482389,0.103231139481,,1.27404931055e-07,4.24683079814e-08,-0.0443499982357,,0.0,0.0,0.0,0.21753950417,0.0
1536033122523071487,,10,,1536033122,522586584,'',1,0,,-0.140877485275,0.139588043094,0.103300586343,,8.06897844546e-07,4.10526979522e-07,-0.0426700003445,,0.0,0.0,0.0,0.217525795102,0.0
1536033122622446381,,11,,1536033122,622034843,'',1,0,,-0.14088755846,0.139507576823,0.103298395872,,1.6987323193e-07,1.55717131634e-07,-0.0374599993229,,0.0,0.0,0.0,0.217582061887,0.0
1536033122722551736,,12,,1536033122,722128798,'',1,0,,-0.140904501081,0.139451518655,0.103312648833,,5.23775781862e-07,5.23775781858e-07,-0.0314100012183,,0.0,0.0,0.0,0.217522576451,0.0
1536033122823406379,,13,,1536033122,822797209,'',1,0,,-0.14093631506,0.139387965202,0.103292323649,,1.41561031347e-07,-4.24683079814e-08,-0.0422799997032,,0.0,0.0,0.0,0.217533066869,0.0
1536033122923311377,,14,,1536033122,922965791,'',1,0,,-0.140985772014,0.13934764266,0.103388853371,,6.79492927707e-07,4.24683094025e-07,-0.0370399989188,,0.0,0.0,0.0,0.217551782727,0.0
1536033123022497928,,15,,1536033123,21900721,'',1,0,,-0.1410677284,0.139294326305,0.103513799608,,5.66244118324e-08,9.90927233602e-08,-0.0512900017202,,0.0,0.0,0.0,0.217606142163,0.0
1536033123123691644,,16,,1536033123,123139201,'',1,0,,-0.141201034188,0.13925807178,0.103625304997,,1.55717131638e-07,2.26497647304e-07,-0.0359100028872,,0.0,0.0,0.0,0.21756131947,0.0
1536033123223586367,,17,,1536033123,223227130,'',1,0,,-0.141314476728,0.139220163226,0.103629797697,,4.24683079869e-08,-9.90927233602e-08,-0.0448000021279,,0.0,0.0,0.0,0.217557027936,0.0
1536033123332897422,,18,,1536033123,331548828,'',1,0,,-0.141420558095,0.13918684423,0.103566169739,,1.27404931055e-07,4.24683079814e-08,-0.0405000001192,,0.0,0.0,0.0,0.217543676496,0.0
